OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria,dias_prazo,dias_para_vencer,dias_entrega_real,valor_log,atraso,taxa_atraso_fornecedor,total_of_fornecedor,valor_medio_fornecedor,risk_score,prioridade
149,Fornecedor_12,2023-04-07,2023-04-19,2023-04-17,44181.94,Tecnologia,12,-1137,10,10.696094020708419,0,0.20512820512820512,39,27436.36,0.23712430240761648,Baixa
150,Fornecedor_13,2023-07-03,2023-07-17,2023-07-16,22328.48,Equipamentos,14,-1048,13,10.013663057505285,0,0.2786885245901639,61,27560.733770491803,0.31600653150578284,Baixa
151,Fornecedor_8,2023-11-14,2023-12-08,2023-12-08,7955.99,Tecnologia,24,-904,24,8.981806066621687,0,0.3269230769230769,52,28221.404230769233,0.30411932339739234,Baixa
152,Fornecedor_19,2023-02-26,2023-03-11,2023-03-09,17369.92,Tecnologia,13,-1176,11,9.762552822714541,0,0.3793103448275862,58,30085.888275862068,0.5468635204163147,Média
153,Fornecedor_12,2023-08-06,2023-08-18,2023-08-16,26004.48,Insumos,12,-1016,10,10.166062564025674,0,0.20512820512820512,39,27436.36,0.1869872702678043,Baixa
154,Fornecedor_11,2023-08-20,2023-08-29,2023-08-29,2282.29,Medicamentos,9,-1005,9,7.733372664305885,0,0.125,48,25942.747083333335,0.2068803912299936,Baixa
155,Fornecedor_10,2023-04-07,2023-04-25,2023-04-29,29780.87,Tecnologia,18,-1131,22,10.301655098087908,1,0.34545454545454546,55,25275.839636363635,0.6530849115020776,Média
156,Fornecedor_16,2023-01-26,2023-02-09,2023-02-07,17740.28,Insumos,14,-1206,12,9.783649406586461,0,0.2545454545454545,55,23819.375818181816,0.2763007823490173,Baixa
157,Fornecedor_16,2023-05-22,2023-06-11,2023-06-11,31815.16,Equipamentos,20,-1084,20,10.36772961579115,0,0.2545454545454545,55,23819.375818181816,0.5224755130220208,Média
158,Fornecedor_13,2023-08-01,2023-08-20,2023-08-20,11558.04,Insumos,19,-1014,19,9.355223093795244,0,0.2786885245901639,61,27560.733770491803,0.14143007751649742,Baixa
159,Fornecedor_17,2023-04-27,2023-05-02,2023-04-30,10716.22,Medicamentos,5,-1124,3,9.279607072635171,0,0.37037037037037035,54,25592.20962962963,0.1747136761630721,Baixa
160,Fornecedor_10,2023-10-27,2023-11-20,2023-11-19,20862.08,Insumos,24,-922,23,9.945736368662137,0,0.34545454545454546,55,25275.839636363635,0.19545063341649607,Baixa
161,Fornecedor_19,2023-05-15,2023-06-08,2023-06-12,2976.63,Equipamentos,24,-1087,28,7.998882961065603,1,0.3793103448275862,58,30085.888275862068,0.48543347695735284,Média
162,Fornecedor_17,2023-07-25,2023-07-31,2023-07-30,25483.75,Tecnologia,6,-1034,5,10.14583551303405,0,0.37037037037037035,54,25592.20962962963,0.35442501558389156,Baixa
163,Fornecedor_12,2023-07-04,2023-07-17,2023-07-21,24201.39,Insumos,13,-1048,17,10.094206667598876,1,0.20512820512820512,39,27436.36,0.19310356048909416,Baixa
164,Fornecedor_10,2023-01-25,2023-02-13,2023-02-14,32982.69,Tecnologia,19,-1202,20,10.403768475846329,1,0.34545454545454546,55,25275.839636363635,0.5797176112246094,Média
165,Fornecedor_7,2023-05-18,2023-06-02,2023-06-02,23136.22,Insumos,15,-1093,15,10.049197855241808,0,0.3269230769230769,52,26954.52903846154,0.29691652734467405,Baixa
166,Fornecedor_5,2023-07-19,2023-08-08,2023-08-08,13658.17,Equipamentos,20,-1026,20,9.522166369931737,0,0.41304347826086957,46,26724.331521739132,0.49956712833205424,Média
167,Fornecedor_13,2023-11-06,2023-11-29,2023-11-28,13299.7,Tecnologia,23,-913,22,9.4955719444038,0,0.2786885245901639,61,27560.733770491803,0.2292674439942256,Baixa
168,Fornecedor_17,2023-11-22,2023-11-30,2023-12-03,15391.45,Equipamentos,8,-912,11,9.641632408444861,1,0.37037037037037035,54,25592.20962962963,0.39924648260600076,Média
169,Fornecedor_5,2023-12-24,2024-01-01,2024-01-04,37791.87,Insumos,8,-880,11,10.539875739477248,1,0.41304347826086957,46,26724.331521739132,0.7281063127909397,Alta
170,Fornecedor_6,2023-09-06,2023-09-18,2023-09-16,44966.61,Insumos,12,-985,10,10.713697731810287,0,0.28888888888888886,45,26625.86022222222,0.1597204821670699,Baixa
171,Fornecedor_6,2023-01-22,2023-02-06,2023-02-05,46741.48,Insumos,15,-1209,14,10.752408666163207,0,0.28888888888888886,45,26625.86022222222,0.3509854518361015,Baixa
172,Fornecedor_6,2023-10-24,2023-11-08,2023-11-07,2233.86,Equipamentos,15,-934,14,7.711933865264685,0,0.28888888888888886,45,26625.86022222222,0.13916394795260112,Baixa
173,Fornecedor_2,2023-03-19,2023-04-01,2023-04-01,38402.59,Equipamentos,13,-1155,13,10.555906223789274,0,0.23255813953488372,43,24466.852790697674,0.21902408605111243,Baixa
174,Fornecedor_19,2023-08-08,2023-08-25,2023-08-24,19603.14,Medicamentos,17,-1009,16,9.883496047403654,0,0.3793103448275862,58,30085.888275862068,0.11859026355887824,Baixa
175,Fornecedor_5,2023-06-27,2023-07-20,2023-07-26,13650.14,Tecnologia,23,-1045,29,9.521578313609314,1,0.41304347826086957,46,26724.331521739132,0.7274617751889759,Alta
176,Fornecedor_18,2023-10-31,2023-11-12,2023-11-14,34590.26,Insumos,12,-930,14,10.451356327980701,1,0.3409090909090909,44,23445.405000000002,0.6348737890514868,Média
177,Fornecedor_19,2023-02-15,2023-02-28,2023-02-26,32486.0,Insumos,13,-1187,11,10.38859528829649,0,0.3793103448275862,58,30085.888275862068,0.3061871137183811,Baixa
178,Fornecedor_8,2023-12-10,2023-12-29,2023-12-28,38162.24,Medicamentos,19,-883,18,10.549628027618319,0,0.3269230769230769,52,28221.404230769233,0.21938422087769296,Baixa
179,Fornecedor_7,2023-05-25,2023-06-01,2023-05-31,21857.16,Tecnologia,7,-1094,6,9.992329586184209,0,0.3269230769230769,52,26954.52903846154,0.5238868297387071,Média
180,Fornecedor_10,2023-08-23,2023-08-31,2023-09-01,26191.18,Tecnologia,8,-1003,9,10.17321617191473,1,0.34545454545454546,55,25275.839636363635,0.769618589847807,Alta
181,Fornecedor_8,2023-02-15,2023-03-08,2023-03-07,40690.51,Insumos,21,-1179,20,10.613774750162182,0,0.3269230769230769,52,28221.404230769233,0.30686661090417916,Baixa
182,Fornecedor_16,2023-11-19,2023-12-04,2023-12-03,27039.65,Equipamentos,15,-908,14,10.20509656832952,0,0.2545454545454545,55,23819.375818181816,0.18044032529324386,Baixa
183,Fornecedor_16,2023-10-30,2023-11-08,2023-11-08,14876.62,Insumos,9,-934,9,9.607613349357761,0,0.2545454545454545,55,23819.375818181816,0.150983846339654,Baixa
184,Fornecedor_14,2023-03-05,2023-03-26,2023-03-24,42405.34,Equipamentos,21,-1161,19,10.655053158343694,0,0.3404255319148936,47,27536.185319148935,0.1383556384025378,Baixa
185,Fornecedor_12,2023-11-28,2023-12-18,2023-12-18,43213.36,Equipamentos,20,-894,20,10.673928126404507,0,0.20512820512820512,39,27436.36,0.4048102049705166,Média
186,Fornecedor_3,2023-02-05,2023-02-20,2023-02-20,4420.51,Equipamentos,15,-1195,15,8.394236545689134,0,0.24444444444444444,45,23814.126444444442,0.30494120809258984,Baixa
187,Fornecedor_4,2023-02-03,2023-02-10,2023-02-13,45299.65,Medicamentos,7,-1205,10,10.721076660154054,1,0.32,50,24059.582799999996,0.6754602450893151,Média
188,Fornecedor_7,2023-05-11,2023-05-29,2023-05-31,32358.16,Tecnologia,18,-1097,20,10.384652412862708,1,0.3269230769230769,52,26954.52903846154,0.7403482378662233,Alta
189,Fornecedor_6,2023-03-25,2023-04-14,2023-04-20,44142.1,Tecnologia,20,-1142,26,10.695191908427558,1,0.28888888888888886,45,26625.86022222222,0.7480125037278326,Alta
190,Fornecedor_8,2023-02-18,2023-03-03,2023-03-04,32803.96,Medicamentos,13,-1184,14,10.398335002451912,1,0.3269230769230769,52,28221.404230769233,0.6449257431400389,Média
191,Fornecedor_17,2023-11-07,2023-11-15,2023-11-16,11298.25,Tecnologia,8,-927,9,9.33249163081632,1,0.37037037037037035,54,25592.20962962963,0.32616173359258815,Baixa
192,Fornecedor_15,2023-10-16,2023-11-06,2023-11-05,48662.68,Medicamentos,21,-936,20,10.792688240276142,0,0.34615384615384615,52,27936.5375,0.5088605701628023,Média
193,Fornecedor_13,2023-09-11,2023-10-01,2023-09-30,28045.59,Medicamentos,20,-972,19,10.241622334933327,0,0.2786885245901639,61,27560.733770491803,0.11662454393028905,Baixa
194,Fornecedor_9,2023-06-06,2023-06-25,2023-06-23,17864.23,Equipamentos,19,-1070,17,9.790611644709928,0,0.22727272727272727,44,26572.065454545453,0.26806108207530854,Baixa
195,Fornecedor_11,2023-02-25,2023-03-19,2023-03-18,15000.56,Insumos,22,-1168,21,9.615909474676721,0,0.125,48,25942.747083333335,0.19777471189063103,Baixa
196,Fornecedor_11,2023-07-30,2023-08-19,2023-08-19,37752.03,Medicamentos,20,-1015,20,10.538821016356778,0,0.125,48,25942.747083333335,0.03535218099537709,Baixa
197,Fornecedor_16,2023-10-15,2023-10-23,2023-10-21,26850.32,Equipamentos,8,-950,6,10.198070260739772,0,0.2545454545454545,55,23819.375818181816,0.22343384354821846,Baixa
198,Fornecedor_10,2023-01-29,2023-02-12,2023-02-12,9788.96,Medicamentos,14,-1203,14,9.189112649714371,0,0.34545454545454546,55,25275.839636363635,0.36887309509118904,Baixa
199,Fornecedor_7,2023-08-11,2023-08-30,2023-08-29,45478.8,Insumos,19,-1004,18,10.725023550317424,0,0.3269230769230769,52,26954.52903846154,0.2826725134578978,Baixa
200,Fornecedor_15,2023-11-27,2023-12-04,2023-12-07,47946.82,Insumos,7,-908,10,10.777868615253038,1,0.34615384615384615,52,27936.5375,0.690719371427487,Alta
201,Fornecedor_8,2023-05-17,2023-06-03,2023-06-06,14196.76,Equipamentos,17,-1092,20,9.560839484667195,1,0.3269230769230769,52,28221.404230769233,0.6454186329669691,Média
202,Fornecedor_4,2023-04-20,2023-04-25,2023-04-30,29438.5,Insumos,5,-1131,10,10.290092589002937,1,0.32,50,24059.582799999996,0.4731940972612411,Média
203,Fornecedor_8,2023-04-10,2023-04-16,2023-04-14,10293.25,Equipamentos,6,-1140,4,9.23934076590964,0,0.3269230769230769,52,28221.404230769233,0.3253179621766512,Baixa
204,Fornecedor_20,2023-02-02,2023-02-09,2023-02-15,15714.39,Insumos,7,-1206,13,9.6623957659775,1,0.3220338983050847,59,21740.94559322034,0.6621301595526271,Média
205,Fornecedor_19,2023-01-09,2023-01-27,2023-01-27,45458.11,Medicamentos,18,-1219,18,10.724568519564208,0,0.3793103448275862,58,30085.888275862068,0.25651690267530014,Baixa
206,Fornecedor_16,2023-03-26,2023-04-11,2023-04-14,29687.81,Tecnologia,16,-1145,19,10.29852548611925,1,0.2545454545454545,55,23819.375818181816,0.595255553498412,Média
207,Fornecedor_19,2023-02-20,2023-03-16,2023-03-17,29332.36,Equipamentos,24,-1171,25,10.28648071388273,1,0.3793103448275862,58,30085.888275862068,0.5773632218162189,Média
208,Fornecedor_16,2023-03-21,2023-04-06,2023-04-04,45295.28,Insumos,16,-1150,14,10.720980188893861,0,0.2545454545454545,55,23819.375818181816,0.4030887928514467,Média
209,Fornecedor_8,2023-06-19,2023-07-03,2023-07-02,6683.97,Tecnologia,14,-1062,13,8.807617001867037,0,0.3269230769230769,52,28221.404230769233,0.2920891514336998,Baixa
210,Fornecedor_10,2023-11-17,2023-12-07,2023-12-07,39658.12,Medicamentos,20,-905,20,10.58807621322449,0,0.34545454545454546,55,25275.839636363635,0.1995624351793349,Baixa
211,Fornecedor_16,2023-04-19,2023-05-07,2023-05-07,20160.98,Tecnologia,18,-1119,18,9.911553931648312,0,0.2545454545454545,55,23819.375818181816,0.25065062619961637,Baixa
212,Fornecedor_18,2023-07-31,2023-08-13,2023-08-11,22535.14,Tecnologia,13,-1021,11,10.022875521819483,0,0.3409090909090909,44,23445.405000000002,0.2665906518239004,Baixa
213,Fornecedor_14,2023-01-25,2023-02-05,2023-02-03,43411.58,Equipamentos,11,-1210,9,10.678504539837848,0,0.3404255319148936,47,27536.185319148935,0.2387329662209147,Baixa
214,Fornecedor_20,2023-04-24,2023-05-14,2023-05-15,31089.69,Equipamentos,20,-1112,21,10.344663696437918,1,0.3220338983050847,59,21740.94559322034,0.7109709190138062,Alta
215,Fornecedor_6,2023-10-04,2023-10-18,2023-10-19,21466.75,Medicamentos,14,-955,15,9.974307087989487,1,0.28888888888888886,45,26625.86022222222,0.570526443093565,Média
216,Fornecedor_14,2023-02-14,2023-03-05,2023-03-04,17308.92,Insumos,19,-1182,18,9.759035026553567,0,0.3404255319148936,47,27536.185319148935,0.1407884157588502,Baixa
217,Fornecedor_11,2023-09-29,2023-10-22,2023-10-21,30267.62,Insumos,23,-951,22,10.317866811283757,0,0.125,48,25942.747083333335,0.11717450494141848,Baixa
218,Fornecedor_13,2023-06-08,2023-06-14,2023-06-18,29901.81,Equipamentos,6,-1081,10,10.305707734896052,1,0.2786885245901639,61,27560.733770491803,0.4615163277696621,Média
219,Fornecedor_13,2023-10-03,2023-10-14,2023-10-14,24030.46,Insumos,11,-959,11,10.087119084271459,0,0.2786885245901639,61,27560.733770491803,0.2787195099467912,Baixa
220,Fornecedor_19,2023-09-09,2023-09-25,2023-09-23,18157.91,Insumos,16,-978,14,9.806916628327459,0,0.3793103448275862,58,30085.888275862068,0.3252532562627652,Baixa
221,Fornecedor_12,2023-06-04,2023-06-23,2023-06-27,37058.45,Insumos,19,-1072,23,10.52027865893052,1,0.20512820512820512,39,27436.36,0.5999749807624125,Média
222,Fornecedor_11,2023-08-24,2023-09-07,2023-09-05,9493.98,Equipamentos,14,-996,12,9.158518516872393,0,0.125,48,25942.747083333335,0.11239576159343471,Baixa
223,Fornecedor_17,2023-03-28,2023-04-12,2023-04-11,7527.35,Tecnologia,15,-1144,14,8.9264311732769,0,0.37037037037037035,54,25592.20962962963,0.3491627190134101,Baixa
224,Fornecedor_8,2023-08-16,2023-08-24,2023-08-27,48289.89,Medicamentos,8,-1010,11,10.784998209014587,1,0.3269230769230769,52,28221.404230769233,0.6808759941196646,Média
225,Fornecedor_19,2023-02-23,2023-03-17,2023-03-16,2149.34,Tecnologia,22,-1170,21,7.673381248153854,0,0.3793103448275862,58,30085.888275862068,0.38319790018486266,Baixa
226,Fornecedor_2,2023-09-01,2023-09-21,2023-09-20,10002.65,Insumos,20,-982,19,9.210705305379888,0,0.23255813953488372,43,24466.852790697674,0.12700473238342622,Baixa
227,Fornecedor_9,2023-10-18,2023-10-26,2023-10-27,43741.48,Tecnologia,8,-947,9,10.686074991297433,1,0.22727272727272727,44,26572.065454545453,0.12155118316058491,Baixa
228,Fornecedor_9,2023-04-11,2023-05-01,2023-05-01,26180.35,Insumos,20,-1125,20,10.172802604215384,0,0.22727272727272727,44,26572.065454545453,0.2517588216784444,Baixa
229,Fornecedor_4,2023-08-17,2023-08-28,2023-08-30,14557.32,Insumos,11,-1006,13,9.585917930477976,1,0.32,50,24059.582799999996,0.6345120917837994,Média
230,Fornecedor_13,2023-10-16,2023-10-31,2023-10-29,14082.28,Tecnologia,15,-942,13,9.55274355712779,0,0.2786885245901639,61,27560.733770491803,0.20134630650096058,Baixa
231,Fornecedor_12,2023-10-08,2023-10-18,2023-10-17,24031.01,Tecnologia,10,-955,9,10.087141970675626,0,0.20512820512820512,39,27436.36,0.17097972472246087,Baixa
232,Fornecedor_6,2023-07-31,2023-08-18,2023-08-19,20959.38,Tecnologia,18,-1016,19,9.95038926804163,1,0.28888888888888886,45,26625.86022222222,0.6376401152730873,Média
233,Fornecedor_3,2023-08-18,2023-09-06,2023-09-05,27275.98,Insumos,19,-997,18,10.213798402016963,0,0.24444444444444444,45,23814.126444444442,0.21442111087656818,Baixa
234,Fornecedor_4,2023-04-05,2023-04-25,2023-04-25,4001.0,Insumos,20,-1131,20,8.294549515143679,0,0.32,50,24059.582799999996,0.2784423709343222,Baixa
235,Fornecedor_17,2023-06-16,2023-06-25,2023-06-23,23642.85,Equipamentos,9,-1070,7,10.070858317819924,0,0.37037037037037035,54,25592.20962962963,0.2289247262003939,Baixa
236,Fornecedor_17,2023-06-25,2023-07-16,2023-07-20,41917.57,Equipamentos,21,-1049,25,10.643484205817655,1,0.37037037037037035,54,25592.20962962963,0.3870628309500837,Baixa
237,Fornecedor_4,2023-08-20,2023-09-13,2023-09-12,13085.2,Insumos,24,-990,23,9.479313518821986,0,0.32,50,24059.582799999996,0.21037171745682415,Baixa
238,Fornecedor_18,2023-03-21,2023-04-04,2023-04-05,9221.15,Equipamentos,14,-1152,15,9.12936347808655,1,0.3409090909090909,44,23445.405000000002,0.45671755273433395,Média
239,Fornecedor_20,2023-03-05,2023-03-29,2023-03-27,28233.21,Medicamentos,24,-1158,22,10.248289642257385,0,0.3220338983050847,59,21740.94559322034,0.38320313763582203,Baixa
240,Fornecedor_12,2023-03-29,2023-04-21,2023-04-19,25555.53,Medicamentos,23,-1135,21,10.148648140276949,0,0.20512820512820512,39,27436.36,0.20354784649295407,Baixa
241,Fornecedor_9,2023-10-26,2023-11-14,2023-11-12,28016.66,Medicamentos,19,-928,17,10.240590304626393,0,0.22727272727272727,44,26572.065454545453,0.11500605356103132,Baixa
242,Fornecedor_2,2023-07-22,2023-08-02,2023-08-01,19427.52,Insumos,11,-1032,10,9.874497368600549,0,0.23255813953488372,43,24466.852790697674,0.19150318446018574,Baixa
243,Fornecedor_15,2023-07-14,2023-07-24,2023-07-25,11184.75,Tecnologia,10,-1041,11,9.322395925766504,1,0.34615384615384615,52,27936.5375,0.7607135743362472,Alta
244,Fornecedor_11,2023-08-05,2023-08-14,2023-08-14,10675.0,Tecnologia,9,-1020,9,9.275753510524416,0,0.125,48,25942.747083333335,0.04752534627904045,Baixa
245,Fornecedor_13,2023-08-15,2023-09-03,2023-09-08,49912.77,Insumos,19,-1000,24,10.818052195575694,1,0.2786885245901639,61,27560.733770491803,0.7285622432578135,Alta
246,Fornecedor_2,2023-06-08,2023-06-20,2023-06-26,28240.86,Medicamentos,12,-1075,18,10.248560553460901,1,0.23255813953488372,43,24466.852790697674,0.20317706280951864,Baixa
247,Fornecedor_15,2023-05-26,2023-06-02,2023-05-31,47666.67,Equipamentos,7,-1093,5,10.772008669303457,0,0.34615384615384615,52,27936.5375,0.3470375874249461,Baixa
248,Fornecedor_14,2023-11-21,2023-12-09,2023-12-14,8131.68,Medicamentos,18,-903,23,9.003645791517876,1,0.3404255319148936,47,27536.185319148935,0.4663195761185924,Média
249,Fornecedor_20,2023-11-17,2023-12-02,2023-12-08,7681.83,Equipamentos,15,-910,21,8.946743247849438,1,0.3220338983050847,59,21740.94559322034,0.6802267344831394,Média
250,Fornecedor_19,2023-07-08,2023-07-30,2023-08-02,43429.34,Medicamentos,22,-1035,25,10.67891355418807,1,0.3793103448275862,58,30085.888275862068,0.29456610128574373,Baixa
251,Fornecedor_20,2023-07-26,2023-08-01,2023-08-04,40020.01,Insumos,6,-1033,9,10.597159845200576,1,0.3220338983050847,59,21740.94559322034,0.7039452678928579,Alta
252,Fornecedor_10,2023-05-26,2023-06-13,2023-06-17,15148.07,Equipamentos,18,-1082,22,9.625694422914695,1,0.34545454545454546,55,25275.839636363635,0.7510859804501632,Alta
253,Fornecedor_13,2023-06-17,2023-07-07,2023-07-05,47709.51,Equipamentos,20,-1058,18,10.772906988035917,0,0.2786885245901639,61,27560.733770491803,0.3190039538954981,Baixa
254,Fornecedor_14,2023-06-13,2023-07-05,2023-07-03,24518.64,Insumos,22,-1060,20,10.107229708050035,0,0.3404255319148936,47,27536.185319148935,0.28628693261389765,Baixa
255,Fornecedor_6,2023-06-06,2023-06-12,2023-06-11,49066.12,Tecnologia,6,-1083,5,10.800944435696557,0,0.28888888888888886,45,26625.86022222222,0.386174584352916,Baixa
256,Fornecedor_20,2023-05-31,2023-06-16,2023-06-16,15357.68,Tecnologia,16,-1079,16,9.639436065508825,0,0.3220338983050847,59,21740.94559322034,0.3642032743527174,Baixa
257,Fornecedor_18,2023-10-22,2023-11-07,2023-11-07,7699.06,Insumos,16,-935,16,8.948983400019209,0,0.3409090909090909,44,23445.405000000002,0.25503385855844773,Baixa
258,Fornecedor_7,2023-06-19,2023-06-26,2023-06-25,43840.61,Equipamentos,7,-1069,6,10.688338645400126,0,0.3269230769230769,52,26954.52903846154,0.5396421461957875,Média
259,Fornecedor_16,2023-07-25,2023-08-01,2023-08-01,9329.88,Tecnologia,7,-1033,7,9.14108460879338,0,0.2545454545454545,55,23819.375818181816,0.22369029502064847,Baixa
260,Fornecedor_11,2023-11-23,2023-11-28,2023-11-27,18914.69,Equipamentos,5,-914,4,9.84774701538672,0,0.125,48,25942.747083333335,0.15344474073694891,Baixa
261,Fornecedor_1,2023-06-03,2023-06-27,2023-06-26,13653.6,Medicamentos,24,-1068,23,9.521831740179591,0,0.39215686274509803,51,26938.735098039215,0.27326301822021576,Baixa
262,Fornecedor_20,2023-08-19,2023-09-12,2023-09-10,46334.95,Tecnologia,24,-991,22,10.74367339667022,0,0.3220338983050847,59,21740.94559322034,0.36737923247801874,Baixa
263,Fornecedor_10,2023-08-29,2023-09-10,2023-09-09,42661.42,Equipamentos,12,-993,11,10.661073718030082,0,0.34545454545454546,55,25275.839636363635,0.14705765696090967,Baixa
264,Fornecedor_19,2023-02-18,2023-02-26,2023-02-26,26575.96,Equipamentos,8,-1189,8,10.187799954018242,0,0.3793103448275862,58,30085.888275862068,0.2467493909188212,Baixa
265,Fornecedor_9,2023-06-28,2023-07-18,2023-07-16,14529.45,Medicamentos,20,-1047,18,9.584001726490811,0,0.22727272727272727,44,26572.065454545453,0.20168096877591352,Baixa
266,Fornecedor_6,2023-10-28,2023-11-14,2023-11-13,43126.51,Insumos,17,-928,16,10.671916355538489,0,0.28888888888888886,45,26625.86022222222,0.16363593592948247,Baixa
267,Fornecedor_3,2023-04-16,2023-05-05,2023-05-04,15961.28,Tecnologia,19,-1121,18,9.677983717943548,0,0.24444444444444444,45,23814.126444444442,0.17346783162955245,Baixa
268,Fornecedor_17,2023-07-02,2023-07-13,2023-07-12,10608.8,Insumos,11,-1052,10,9.269533381288987,0,0.37037037037037035,54,25592.20962962963,0.1581995191972316,Baixa
269,Fornecedor_10,2023-09-14,2023-09-24,2023-09-24,10473.11,Equipamentos,10,-979,10,9.256661776980199,0,0.34545454545454546,55,25275.839636363635,0.2775697522795205,Baixa
270,Fornecedor_4,2023-12-09,2023-12-16,2023-12-15,35657.99,Equipamentos,7,-896,6,10.481756567964988,0,0.32,50,24059.582799999996,0.26049476002935307,Baixa
271,Fornecedor_5,2023-09-30,2023-10-15,2023-10-15,22098.02,Medicamentos,15,-958,15,10.003288542631221,0,0.41304347826086957,46,26724.331521739132,0.22736788096724855,Baixa
272,Fornecedor_11,2023-10-03,2023-10-23,2023-10-21,27204.54,Equipamentos,20,-950,18,10.211175908015441,0,0.125,48,25942.747083333335,0.05815617144732228,Baixa
273,Fornecedor_11,2023-09-23,2023-10-12,2023-10-11,47268.72,Medicamentos,19,-961,18,10.763625200351079,0,0.125,48,25942.747083333335,0.034062574321858705,Baixa
274,Fornecedor_15,2023-04-23,2023-04-29,2023-05-03,11070.2,Tecnologia,6,-1127,10,9.312102420911721,1,0.34615384615384615,52,27936.5375,0.7765795485474313,Alta
275,Fornecedor_13,2023-08-09,2023-08-25,2023-08-24,10910.7,Medicamentos,16,-1009,15,9.29759088703669,0,0.2786885245901639,61,27560.733770491803,0.10594506014686096,Baixa
276,Fornecedor_16,2023-02-21,2023-03-10,2023-03-09,7744.8,Insumos,17,-1177,16,8.954906039963412,0,0.2545454545454545,55,23819.375818181816,0.2881953519009961,Baixa
277,Fornecedor_19,2023-05-19,2023-06-08,2023-06-08,48500.9,Tecnologia,20,-1087,20,10.789358251415976,0,0.3793103448275862,58,30085.888275862068,0.4338390263317924,Média
278,Fornecedor_3,2023-05-04,2023-05-27,2023-05-27,22786.82,Equipamentos,23,-1099,23,10.033981461674935,0,0.24444444444444444,45,23814.126444444442,0.35762550439272983,Baixa
279,Fornecedor_6,2023-11-21,2023-12-09,2023-12-08,28036.38,Tecnologia,18,-903,17,10.241293898837139,0,0.28888888888888886,45,26625.86022222222,0.3205371051719883,Baixa
280,Fornecedor_5,2023-09-28,2023-10-04,2023-10-03,11130.66,Insumos,6,-969,5,9.317548579599398,0,0.41304347826086957,46,26724.331521739132,0.3271228048831407,Baixa
281,Fornecedor_19,2023-07-11,2023-07-22,2023-07-20,44809.61,Equipamentos,11,-1043,9,10.710200220720337,0,0.3793103448275862,58,30085.888275862068,0.15357925368013314,Baixa
282,Fornecedor_6,2023-01-22,2023-01-28,2023-02-02,27494.95,Tecnologia,6,-1218,11,10.221794000081697,1,0.28888888888888886,45,26625.86022222222,0.6925230870799481,Alta
283,Fornecedor_20,2023-06-24,2023-07-18,2023-07-21,12318.87,Medicamentos,24,-1047,27,9.418968685083787,1,0.3220338983050847,59,21740.94559322034,0.6019514572632088,Média
284,Fornecedor_5,2023-05-12,2023-05-31,2023-06-04,26967.39,Tecnologia,19,-1095,23,10.202420718393428,1,0.41304347826086957,46,26724.331521739132,0.5861746506272152,Média
285,Fornecedor_20,2023-12-11,2023-12-16,2023-12-14,35793.47,Medicamentos,5,-896,3,10.485548691183443,0,0.3220338983050847,59,21740.94559322034,0.23770800106365508,Baixa
286,Fornecedor_19,2023-07-28,2023-08-16,2023-08-14,24491.65,Medicamentos,19,-1018,17,10.106128351523816,0,0.3793103448275862,58,30085.888275862068,0.13491781650384133,Baixa
287,Fornecedor_1,2023-02-24,2023-03-02,2023-03-01,24673.93,Insumos,6,-1185,5,10.113543027418226,0,0.39215686274509803,51,26938.735098039215,0.2536224052546572,Baixa
288,Fornecedor_6,2023-03-13,2023-03-30,2023-04-05,12858.58,Medicamentos,17,-1157,23,9.46184433784926,1,0.28888888888888886,45,26625.86022222222,0.6819099200257478,Média
289,Fornecedor_15,2023-01-15,2023-02-05,2023-02-07,46984.36,Tecnologia,21,-1210,23,10.757591342807606,1,0.34615384615384615,52,27936.5375,0.6254264942686096,Média
290,Fornecedor_6,2023-07-25,2023-07-30,2023-07-28,40848.22,Medicamentos,5,-1035,3,10.617643005858605,0,0.28888888888888886,45,26625.86022222222,0.2754822115940793,Baixa
291,Fornecedor_10,2023-05-24,2023-06-11,2023-06-14,30389.6,Insumos,18,-1084,21,10.321888629052566,1,0.34545454545454546,55,25275.839636363635,0.7321540048489752,Alta
292,Fornecedor_11,2023-11-06,2023-11-24,2023-11-25,26764.34,Tecnologia,18,-918,19,10.194863045903906,1,0.125,48,25942.747083333335,0.11018075822280503,Baixa
293,Fornecedor_3,2023-08-01,2023-08-24,2023-08-30,30952.62,Medicamentos,23,-1010,29,10.340245234116418,1,0.24444444444444444,45,23814.126444444442,0.5617188558208056,Média
294,Fornecedor_18,2023-04-25,2023-05-04,2023-05-02,28181.08,Tecnologia,9,-1122,7,10.246441593942384,0,0.3409090909090909,44,23445.405000000002,0.32470247045068035,Baixa
295,Fornecedor_17,2023-08-27,2023-09-11,2023-09-10,38885.97,Tecnologia,15,-992,14,10.568414512054835,0,0.37037037037037035,54,25592.20962962963,0.3430760326920443,Baixa
296,Fornecedor_19,2023-02-14,2023-03-04,2023-03-03,49123.25,Equipamentos,18,-1183,17,10.802108081879446,0,0.3793103448275862,58,30085.888275862068,0.2534529983772789,Baixa
297,Fornecedor_18,2023-02-07,2023-02-26,2023-03-03,46605.11,Equipamentos,19,-1189,24,10.74948692739863,1,0.3409090909090909,44,23445.405000000002,0.7173298493634906,Alta
